id,title,n_truth(csv_location),n_pred(json_locations),TP,FP,FN,precision,recall,f1,truth_items,pred_items,TP_items,FP_items,FN_items,truth_items_raw,pred_items_raw
8445625d-8cac-40b4-a7ec-08407207460c,"북한, 새해 첫날 '0시 불꽃놀이' 오후 9시로 연기",2,3,2,1,0,0.667,1.0,0.8,김일성광장 ; 평양,김일성광장 ; 평양 ; 평양직할,김일성광장 ; 평양,평양직할,,김일성광장 ; 평양,김일성광장 ; 주변구역 ; 평양 ; 평양직할시
6557a166-f876-4d29-84c2-505c413df34d,마을·논밭 사라지고 철길도 뚝…北수해 전후 사진 비교,5,5,4,1,1,0.8,0.8,0.8,만포 ; 신의주 ; 위화 ; 자강 ; 평안북,만포 ; 신의주 ; 자강 ; 평안북 ; 평양,만포 ; 신의주 ; 자강 ; 평안북,평양,위화,위화도 ; 신의주 ; 평안북도 ; 자강도 ; 만포시 ; 신의주시,만포시 ; 신의주 ; 신의주시 ; 자강도 ; 평안북도 ; 평양
6176cfe1-78bf-419b-b5b2-3fac526e5483,"北 김정은, 예년보다 늦은 낮 12시30분 신년사 발표(종합)",1,1,1,0,0,1.0,1.0,1.0,평양,평양,평양,,,평양시,평양시
6c6f7043-54ac-43a7-9b24-3bb7e8ab835c,"북한 \""어제 극초음속 중장거리 탄도미사일 발사 성공\",2,1,1,0,1,1.0,0.5,0.667,발사장 ; 평양,평양,평양,,발사장,평양 ; 평양시 ; 발사장,평양 ; 평양시
2311bfb2-2d3e-4142-84d0-7fd5ce2d9f5a,"北, 구축함 진수사고 연일 책임자 처벌…군수공업부 부부장 구속",2,1,1,0,1,1.0,0.5,0.667,청진 ; 청진조선소,청진,청진,,청진조선소,청진 ; 청진조선소,청진
1c24d4eb-e950-4d4e-9440-83d648d11453,"北 김정은, 금수산궁전 참배로 새해 첫 활동",2,3,1,2,1,0.333,0.5,0.4,금수산궁전 ; 평양,금수산태양궁전 ; 평양 ; 평양직할,평양,금수산태양궁전 ; 평양직할,금수산궁전,평양 ; 평양시 ; 금수산궁전,금수산태양궁전 ; 주변구역 ; 평양 ; 평양시 ; 평양직할시
ede3af55-0a30-4c82-8b71-f78aefa2d4e0,"에이브럼스 \""北 비핵화 신뢰구축 계속 지원할 것",3,3,1,2,2,0.333,0.333,0.333,공동경비구역 ; 군사분계선 ; 판문점,개성공업지 ; 공동경비구역 ; 판문,공동경비구역,개성공업지 ; 판문,군사분계선 ; 판문점,공동경비구역 ; 군사분계선 ; 판문점,개성공업지구 ; 공동경비구역 ; 판문군
034c64cc-56cf-4941-9a82-3c536a87640e,북한 영변 핵시설 가동 '활발'…플루토늄·HEU 생산 계속,9,3,2,1,7,0.667,0.222,0.333,개성 ; 개성공업지구 ; 남북연락사무소 ; 방사화학실험실 ; 영변 ; 우라늄농축시설 ; 종합지원센터 ; 평안북 ; 핵단지,개성 ; 라진 ; 평안북,개성 ; 평안북,라진,개성공업지구 ; 남북연락사무소 ; 방사화학실험실 ; 영변 ; 우라늄농축시설 ; 종합지원센터 ; 핵단지,영변 ; 개성 ; 평안북도 ; 남북연락사무소 ; 핵 단지 ; 방사화학실험실 ; 우라늄 농축시설 ; 개성공단 ; 종합지원센터,개성 ; 라진 ; 평안북도
a222527c-bd5d-4dd2-81ae-e5cc6bd6c099,"北, 예성강 유역서 구석기시대 유적 발굴",4,3,2,1,2,0.667,0.5,0.571,김일성종합대학 ; 사정 ; 신계 ; 황해북,김일성종합대학 ; 평양직할 ; 황해북,김일성종합대학 ; 황해북,평양직할,사정 ; 신계,황해북도 ; 신계군 ; 사정리 ; 김일성종합대학,김일성종합대학 ; 주변구역 ; 평양직할시 ; 황해북도
af438b04-0a34-4eed-bf6f-d621123e7786,"WSJ \""'北핵무기 12기 추가생산 가능성' 보도, 부정확\""…내용정정",3,2,2,0,1,1.0,0.667,0.8,강원 ; 원산 ; 호도반,강원 ; 원산,강원 ; 원산,,호도반,강원도 ; 원산 ; 호도반도,강원도 ; 원산
d1aced63-4357-4c04-b5ca-a9764d728d54,"북한 8차 당대회 앞두고 '80일전투' 결산…\""충천한 기세 과시\",5,6,3,3,2,0.5,0.6,0.545,강원 ; 삼지연 ; 중앙위원회 ; 함경 ; 황해북,강원 ; 백두산 ; 사리원 ; 삼지연 ; 원산 ; 황해북,강원 ; 삼지연 ; 황해북,백두산 ; 사리원 ; 원산,중앙위원회 ; 함경,함경도 ; 강원도 ; 황해북도 ; 삼지연시 ; 중앙위원회,강원도 ; 백두산 ; 사리원 ; 삼지연시 ; 원산 ; 황해북도
