title,summary,keywords
"北, '김정은에 연하장' 올해도 시진핑보다 푸틴 먼저 호명","소원해진 북중관계 홍국기 북한 매체가 김정은 노동당 위원장에게 연하장을 보낸 각국 지도자들을 열거하며 올해도 러시아를 중국보다 먼저 호명했다. 
조선중앙통신은 31일 ""김정은 동지께 2018년 새해에 즈음하여 여러 나라 국가수반들과 정당 지도자들, 각계 인사들이 연하장을 보내여왔다""며 
""라오스인민민주주의공화국 주석, 러시아 연방 대통령, 중화인민공화국 주석, 파키스탄이슬람공화국 대통령…"" 등의 순으로 이름 없이 직책만 언급했다. 
이로써 북한은 각국 지도자가 연하장을 보내온 사실을 보도하면서 이번을 포함해 4년 연속 중국을 러시아 뒤에 호명했다. 앞
서 북한은 2009년부터 2014년까지는 중국 최고지도부가 보낸 연하장을 다른 국가들과 구분해 별도 기사로 다루며 양국 간 친선을 부각한 바 있다.","김정은 연하 올해 시진핑 푸틴 먼저 호명 
소원 하다 북중"
"멀린 ""북한과 핵전쟁 어느때보다 가까워…군사옵션 끔찍""","""이 시점에서 외교적으로 해결할 기회를 보지 못했다"" 美합참의장 시절의 멀린 마이클 멀린 전 미국 합참의장은 31일(현지시간) ""
우리는 북한과의 핵전쟁에 그 어느 때보다 더 가까이 있다""고 말했다. 내셔널프레스빌딩(NPB)에서 '미국 안보전략'을 주제로 브리팡하는 모습 = 
마이클 멀린 전 미국 합참의장은 31일(현지시간) ""우리는 북한 및 그 지역에서의 핵전쟁에 그 어느 때보다 더 가까이 있다""고 말했다. 
멀린 전 합참의장은 31일(현지시간) 미 ABC방송의 뉴스프로그램인 '디스 위크'에 출연해 북한 핵·미사일 문제에 대해 
""나는 이 시점에서 외교적으로 해결할 기회를 보지 못했다""면서 이같이 밝혔다. 멀린 전 의장은 지난 8월 미 NBC방송 인터뷰에서 
""만약 강경발언의 결과가 군사적 공격을 초래한다면 상황은 빠른 속도로 통제 불능이 될 것""이라며 ""우리는 항상 군사옵션을 갖고 있었지만, 
이는 아주 복잡한 문제이고 많은 사람에게 끔찍한 결과를 가져올 사안""이라고 우려했다.","멀린 북한 핵전쟁 군사 옵션 
끄다 시점 외교 해결 하다"
"北, 대규모 불꽃놀이로 무술년 새해맞이","북한은 1일 0시(한국시간 0시 30분) 화려한 불꽃놀이로 무술년 새해를 맞이했다. 
조선중앙TV는 이날 평양 대동강변 주체사상탑 일대에서 벌어진 대규모 불꽃놀이를 생중계했다. 
대동강 건너편 김일성광장에는 불꽃놀이를 보려고 몰려든 주민들로 발 디딜 틈 없이 가득 찼다. 
대동강 위에 떠 있는 유람선도 불꽃놀이 관람객으로 빼곡한 모습이었다. 중앙TV에서 새해를 알리는 타종 소리가 울렸고, 
이내 화려한 축포가 평양의 밤하늘을 가득 채웠다.","대규모 불꽃놀이 무술년 새해 맞이 
조선 중앙 늘다 평양 대동"
"그레이엄 ""북한의 미 본토 타격 능력 절대 허락하지 않아""","대북 강경파인 그레이엄 의원은 이날 CBS방송 인터뷰에서 북핵 문제와 관련 ""선제공격은 북한의 (핵ㆍ미사일) 기술 발전으로 가능성이 더 커지고 있다""며 
""모든 미사일 시험과 모든 지하 핵 실험은 (핵과 미사일의) 결합 가능성을 높이고 있다. 그레이엄 의원은 이날 미 CBS방송의 시사프로그램인 
'페이스 더 네이션'에 출연해, 진행자에게서 '북한이 7차 핵실험을 강행하면 미국의 군사옵션 가능성이 70%로 높아질 것'이라는 
최근 그의 발언에 대한 설명을 요구받았다. 이에 그레이엄 의원은 먼저 ""(도널드 트럼프) 대통령은 북한 정권에 '핵탄두 장착 미사일로 미국을 
공격하도록 절대 허락하지 않을 것이다. 지난 13일 미 시사지 애틀랜틱과의 인터뷰에서는 ""북한이 다시 장거리 탄도미사일을 발사할 경우 미국이 
군사옵션을 사용할 확률이 30%, 만약 추가 핵실험을 감행하면 군사행동 가능성은 70%로 상승할 것""이라고 예상했으며, 3일 CBS방송 인터뷰에서는 
""우리는 시간이 부족하다""며 ""선제공격이 최후의 수단""이라고 주장했다.","그레이엄 북한 본토 타격 능력 절대 
허락 하다 않다 대북"
"진징이 ""북한 조만간 핵무력 완성선포…7차핵실험 가능성""","""수소탄 경량화 핵실험할 듯…위성발사·ICBM 정상 궤도 발사할 수도"" ""北, 유엔 제재 대비해 장기전 대비한듯…제재해제위한 협상 나설 것"" 
= 중국의 한반도 전문가인 진징이(金景一) 베이징대 교수는 북한은 핵 무력 완성을 위해 7차 핵실험 등 한두 차례 추가 도발을 감행할 가능성이 크다면서 
이후에는 장기간 도발을 자제하고 경제제재를 풀기 위한 협상에 나설 것으로 분석했다. 북한은 핵 무력 완성을 선포하고 이를 바탕으로 협상의 주도권에 
우위를 점한 뒤 북핵 문제의 무게중심을 경제개발로 옮기는 노력을 할 것이다. -- 북한이 어떤 도발을 할 것으로 보나. 
▲ 핵 무력 완성을 위한 추가 도발은 7차 핵실험이 될 수도 있고, 대륙간탄도미사일(ICBM) 시험 발사나 인공위성 발사 형태가 될 수도 있다. 
여러 가지를 종합해 봤을 때 실패 위험이 큰 ICBM 시험 발사보다는 핵실험이나 인공위성 발사 형태가 되지 않을까 생각한다. 
-- 북한의 핵 무력 완성선포 이후 북핵 문제 전망은 ▲ 장기간 도발을 자제하면서 핵 군축 협상과 같은 방식으로 경제개발과 관련한 
협상에 나설 가능성이 크다. 북·중 무역이 감소하는 데 대해서도 밀무역 등 다른 루트를 통해 대응책을 마련하는 방식으로 제재 효과를 
상쇄하는 것으로 보인다. -- 북핵 문제의 무게중심이 경제개발로 옮겨간다면 한국과 미국, 중국 등 관련 국가들의 반응은 어떨 것으로 예상하나. 
▲ 북한은 강남 개발구 계획을 발표하면서 해외 투자 등 경제적 지원을 받아들일 준비를 마친 상태다.","진징 북한 조만간 무력 완성 선포 핵실험 
가능성 수소탄 경량"
"北매체 ""김정은 신년사 오전 9시 30분 발표""","지성림 김정은 북한 노동당 위원장이 1일 오전 9시 30분(평양시 기준 9시)에 2018년 신년사를 발표한다고 조선중앙방송이 보도했다. 
조선중앙방송은 ""9시(평양시)부터 우리 당과 국가, 군대의 최고영도자 김정은 동지께서 주체107(2018)년 새해에 즈음하여 
하신 신년사를 보내드리겠다""고 밝혔다. 김 위원장은 2013년부터 매년 육성으로 신년사를 발표해왔다. 
2017년 신년사 발표하는 김정은 김정은 북한 노동당 위원장이 1일 오후 평양 노동당사에서 신년사를 발표하고 있다.","매체 김정은 신년사 오전 발표 지성 김정은 
북한 노동당 위원장"
북한 김정은 신년사 주목…국면전환 계기 될까,"북한 김정은 신년사 주목…국면전환 계기 될까 북한 김정은 노동당 위원장이 오늘 9시 반에 발표할 것으로 예상되는 신년사에서 
어떤 메시지를 내놓을지 주목됩니다. '국가핵무력 완성'을 거듭 선언하고 국면 전환을 위해 적극적인 '평화공세'에 나설 가능성이 높다는 것이 
전문가들의 분석인데요. 북한 김정은 노동당 위원장은 지난해 신년사에서 대륙간 탄도미사일, ICBM 개발 완성이 임박했음을 시사했습니다. 
<김정은 / 북한 노동당 위원장> ""대륙간 탄도로켓 시험발사 준비사업이 마감단계에 이른 것을 비롯하여…"" 그로부터 1년이 채 안 돼 북한은 
입증과정을 생략한 채 '국가핵무력 완성'을 주장했습니다. 이처럼 김정은의 신년사는 북한에서 국가적 역량을 총동원해 반드시 이뤄내야 하는 
지침인 만큼 새해 메시지 내용에도 관심이 쏠립니다. 김정은은 우선 '핵무력 완성'을 거듭 선언하고 한국과 미국을 향해 대화를 타진하는 등 
국면전환을 모색할 가능성이 높습니다. <양무진 / 북한대학원대학교 교수> ""북한은 핵보유국 지위를 가진 상태에서 6·15와 10·4선언을 토대로 
한 남·북 군사당국회담을 제의하고 미국과는 핵보유국이라는 동등한 입장에서 핵 군축회담을 제의할 가능성이 있고…"" 평창 동계올림픽과 연계해 
핵·미사일 실험의 잠정 중단을 선포할 가능성도 배제할 수 없습니다. <조성렬 / 국가안보전략연구원 수석연구위원> ""(북한이) 핵무력 완성을 선언하면서 
동시에 평창동계올림픽, 패럴림픽 기간까지는 자신들이 추가적인 핵·미사일 시험은 하지 않겠다고 선언할 가능성이 있습니다."" 
북한 내부적으로는 정권수립 70주년을 맞은 만큼 국제사회 제재 속에서도 경제분야의 높은 성과를 독려할 것으로 관측됩니다.","북한 김정은 신년사 주목 국면 전환 계기 
되다 북한 김정은"
"북한, 대규모 불꽃놀이로 무술년 새해맞이","북한, 대규모 불꽃놀이로 무술년 새해맞이 북한도 화려한 불꽃놀이로 무술년 새해를 맞이했습니다. 
조선중앙TV는 북한 시간으로 오늘 0시 평양 대동강변 주체사상탑 일대에서 벌어진 대규모 불꽃놀이를 생중계했습니다. 
불꽃놀이 생중계를 진행한 중앙TV 아나운서는 ""군중들이 터치는 환호의 소리가 대동강변에 차고 넘친다""며 
""마치도 수도의 밤하늘에 불의 신비경이 펼쳐지는 것 같다""고 말했습니다. 불꽃놀이 생중계는 약 15분 간 진행됐지만 김정은 북한 노동당 위원장의 
모습 등은 보이지 않았습니다. : 02-398-4441(기사문의ㆍ제보) 카톡/라인 jebo23","북한 대규모 불꽃놀이 무술년 새해 맞이 
북한 대규모 불꽃놀이 무술년"
"北김정은 ""美전역 우리 사정권…핵 단추, 내 사무실 책상위에""","""지난해 국가핵무력 완성 역사적 대업 성취"" 신년사 발표하는 김정은 김정은 북한 노동당 위원장이 1일 오전 9시 30분(평양시 기준 9시)에
노동당 중앙위원회 청사에서 육성으로 신년사를 발표하고 있다.2018.1.1 이정진 김정은 북한 노동당 위원장은 1일 ""핵 단추가 내 사무실 
책상 위에 항상 놓여있다는 것은 위협이 아닌 현실임을 똑바로 알아야 한다""고 주장했다. 김 위원장은 이날 조선중앙TV를 통해 방송된 신년사 
육성 연설에서 ""미국 본토 전역이 우리의 핵 타격 사정권 안에 있다""면서 이렇게 밝혔다. 이런 발언은 북한이 핵무기를 실전 배치했음을 
시사한 것이란 해석도 나오고 있다. 김정은은 지난해 ""국가핵무력 완성의 역사적 대업을 성취했다""면서 ""그 어떤 핵 위협도 봉쇄 대응할 수 있으며 
미국이 모험적 불장난을 할 수 없게 제압하는 강력한 억제력으로 됐다""고 강조했다.","김정은 전역 우리 정권 단추 사무실 
책상 지난해 국가 무력"
북한 김정은 신년사 예정…'대화 타진' 포함될지 관심,"북한 김정은 신년사 예정…'대화 타진' 포함될지 관심 북한 매체 조선중앙TV가 김정은 노동당 위원장의 새해 신년사를 우리 시각으로 조금 후인 
9시 30분 방송할 예정이라고 보도했습니다. 조선중앙TV가 김정은의 새해 신년사를 우리 시각으로 오전 9시 30분에 방송한다고 보도했습니다. 
방송은 평양시로 오전 9시, 우리 시각으로 오전 9시 반부터 김정은의 새해에 즈음한 신년사를 방송하겠다고 예고했습니다. 
김정은은 2013년부터 매년 육성으로 신년사를 발표해왔습니다.","북한 김정은 신년사 예정 대화 타진 포함 
되다 관심 북한"
